Processes: 407 total, 2 running, 1 stuck, 404 sleeping, 2456 threads 
2021/10/12 23:10:17
Load Avg: 2.18, 2.36, 2.43 
CPU usage: 6.49% user, 18.83% sys, 74.67% idle 
SharedLibs: 179M resident, 34M data, 7968K linkedit.
MemRegions: 173935 total, 1375M resident, 93M private, 991M shared.
PhysMem: 7472M used (1639M wired), 69M unused.
VM: 142T vsize, 3272M framework vsize, 2493065(0) swapins, 2877040(0) swapouts.
Networks: packets: 3112051/3026M in, 2024636/279M out.
Disks: 4352116/147G read, 975924/54G written.

PID   COMMAND          %CPU TIME     #TH   #WQ #PORTS MEM   PURG CMPRS PGRP PPID STATE    BOOSTS      %CPU_ME %CPU_OTHRS UID FAULTS   COW   MSGSENT  MSGRECV  SYSBSD   SYSMACH  CSW       PAGEINS IDLEW POWER INSTRS CYCLES USER                   #MREGS RPRVT VPRVT VSIZE KPRVT KSHRD
7578  com.apple.audio. 0.0  00:00.00 2     1   13     1713K 0B   1520K 7578 1    sleeping *0[2]       0.00000 0.00000    501 495      66    92       34       530      179      66        118     0     0.0   0      0      sasha                  N/A    N/A   N/A   N/A   N/A   N/A  
7576  MTLCompilerServi 0.0  00:00.02 2     1   32     7138K 0B   6768K 7576 1    sleeping *0[2]       0.00000 0.00000    501 861      76    129      37       634      264      70        5       0     0.0   0      0      sasha                  N/A    N/A   N/A   N/A   N/A   N/A  
7575  MTLCompilerServi 0.0  00:00.09 2     1   32     11M   0B   11M   7575 1    sleeping *0[26]      0.00000 0.00000    501 1738     81    255      63       1267     447      226       178     0     0.0   0      0      sasha                  N/A    N/A   N/A   N/A   N/A   N/A  
7573  com.apple.WebKit 0.0  00:09.86 10    2   175    203M  0B   152M  7573 1    sleeping  0[1559]    0.00000 0.00000    501 172378   247   25838    127553   174763   332458   158552    3820    52    0.0   0      0      sasha                  N/A    N/A   N/A   N/A   N/A   N/A  
7572  MTLCompilerServi 0.0  00:00.08 2     1   32     11M   0B   10M   7572 1    sleeping *0[14]      0.00000 0.00000    501 1618     76    204      54       1171     381      174       100     0     0.0   0      0      sasha                  N/A    N/A   N/A   N/A   N/A   N/A  
7569  MTLCompilerServi 0.0  00:00.12 2     1   26     10M   0B   10M   7569 1    sleeping *0[4]       0.00000 0.00000    88  2481     76    135      40       824      297      462       992     0     0.0   0      0      _windowserver          N/A    N/A   N/A   N/A   N/A   N/A  
7568  QuickLookUIServi 0.0  00:05.52 3     1   179    16M   864K 11M   7568 1    sleeping  0[603]     0.00000 0.00000    501 57184    168   71824    25579    40766    164685   27406     821     11    0.0   0      0      sasha                  N/A    N/A   N/A   N/A   N/A   N/A  
7284  clangd           0.0  00:06.04 3     0   16     28M   0B   26M   7264 7264 sleeping *0[1]       0.00000 0.00000    501 43301    187   348      171      105295   422      19957     3075    0     0.0   0      0      sasha                  N/A    N/A   N/A   N/A   N/A   N/A  
7283  fsnotifier       0.0  00:00.25 3     1   28     1681K 0B   864K  7264 7264 sleeping *0[1]       0.00000 0.00000    501 9622     50    3677     39       13136    14546    2776      24      0     0.0   0      0      sasha                  N/A    N/A   N/A   N/A   N/A   N/A  
7264  clion            0.0  04:23.35 65    5   473    1502M 0B   1102M 7264 1    sleeping *0[200]     0.00000 0.00000    501 1589872  333   1298345  1202388  3772549  1852539  2277922   5690    1686  0.0   0      0      sasha                  N/A    N/A   N/A   N/A   N/A   N/A  
